layer,slope_SSSF,t_SSSF,slope_NNNF,t_NNNF,slope_HHHF,t_HHHF,slope_SSHF,t_SSHF,beta_SSSF_nolen,beta_SSSF_withlen,t_SSSF_withlen,beta_HHHF_nolen,beta_HHHF_withlen,t_HHHF_withlen,beta_SSHF_nolen,beta_SSHF_withlen,t_SSHF_withlen,beta_length,t_length,beta_SSSF_common,t_SSSF_common,beta_HHHF_common,t_HHHF_common,beta_SSHF_common,t_SSHF_common
0,0.02855015914354603,4.3026895430815495,0.0058979816496171344,4.307093254117474,-0.0018017127200749558,-1.270960061784182,0.011011657785670552,2.514201350220747,1.8643527342678223,0.29308740356933927,0.5410813720226935,-2.8807686218103936,-2.743246107451219,-8.023626129381102,-0.7184095784050011,-2.1398744535911263,-4.187738284608032,0.003829377357721583,3.7255561872905143,-1.8286590607234132,-1.9948418601826765,-4.840372972868019,-4.122491217171135,-4.0571797831880145,-4.777023045790952
1,0.01721976032559348,3.392263352792287,0.012969290603853595,12.26325068436967,0.015209980575675028,15.181378392118658,0.01810280966165877,4.715802936816787,4.107501065667151,-1.7359920741178467,-4.153551031651264,-1.2436176398348733,-0.7321751396261295,-2.7754108049391464,2.387785887463499,-2.898603422038429,-7.351677079347745,0.014241350510512023,17.956451287064016,0.9738685769723409,1.7281031297274385,2.524569605051076,3.497533104650556,-0.5709473163512634,-1.0935098329388742
2,0.03219525147425501,7.129317368914512,0.010296570014994707,8.503589027438155,0.012941337328339844,9.557218304674594,0.015593628704765246,4.235337393135355,2.4002188476418844,-2.6014762846870716,-5.820092050979021,-0.3088677075406267,0.12889775270157758,0.4568733346933699,1.420838265955774,-3.104007925256578,-7.361369425329112,0.012189779609947519,14.371541706740942,0.3567686525821522,0.5373965111993874,4.56216807283939,5.365183945398873,0.06343142271478608,0.10312642431482512
3,0.014623085903669245,6.070367626754131,0.005091653705962176,9.957605369670668,0.004375224014743634,7.361708463704687,0.0055628829708180925,3.0585277424792547,0.9704571138874709,-1.1184365941230494,-5.337295766179548,-0.05670471766217887,0.12612240220237733,0.9535481302298418,0.6938534091474179,-1.1958904653733229,-6.049606326331854,0.005090904834377227,12.802724610860716,-0.34004569835312826,-0.8938314300561959,0.9551927822221322,1.960263934019347,-0.183168533308024,-0.5196686971030066
4,0.0031202427519371368,0.8121412898268159,0.004509261962833666,4.5198134249185395,0.004923568570021967,5.061973156226054,0.001907303725072277,0.6678070844286355,1.008402077151439,-0.8295164490160798,-2.3805842575824947,0.024393204912529835,0.18525411870452457,0.8423002132488031,0.8603323551685335,-0.8023636754500634,-2.440931676517815,0.004479245772140731,6.774246115349309,1.4408284219872565,2.5751997240855844,2.046875198284939,2.8562432759604515,1.614016769048123,3.1136087983121916
5,-0.006139142324027053,-1.7333272491046006,0.0025747861878051255,3.324238753840839,0.002554023154438272,2.929695508667544,-0.0035430862005714683,-1.4313030089750773,-0.45243382603078564,-1.2654547706125026,-4.190516916036427,-0.27790731683562475,-0.20674894380907816,-1.084687795537648,-0.3916734398350728,-1.1271830275123018,-3.956773776869021,0.001981437466802734,3.4577919987964316,-0.09244232520640226,-0.1877346220854295,0.5523268171182869,0.8757392662884609,0.08088386642904408,0.17729348146852042
6,4.889141792626582e-06,0.0016549106579470986,0.0029164373141097643,4.184056305147714,0.001970737392670178,2.407455461525175,-0.0005419822568739253,-0.2586812935528503,0.028765624312666542,-0.9045594663388983,-3.4327414071376894,-0.011049978385326707,0.07063782486037273,0.4246995166242304,-0.04045389482668109,-0.8847981361021838,-3.5593768713328866,0.00227463427067762,4.548969944440564,-0.4388729045160424,-1.096034957082033,0.6269419376328788,1.2224135063354036,-0.31890120005536876,-0.859605416600353
7,-0.0019791813510910312,-0.64061772541009,0.00411516055199083,5.83416769547365,0.0032156648353681844,4.324042251258741,-0.0009375961457184928,-0.45999290971792056,-0.10996893515145059,-1.4701574517673202,-5.645108014067835,0.1567781281740364,0.2758264780312198,1.677972519402072,0.07183350108161937,-1.158678088671015,-4.716252084183887,0.003314955791359596,6.70785507692402,-0.4765008926944529,-1.1848194878723837,1.0038434561829452,1.9487657737561752,-0.13399353807919806,-0.359608275935755
8,-0.00518695419176054,-1.5641643101687461,0.004273487118001048,5.9963750020270545,0.0022261633757885875,2.337762686268394,-0.002680719356771607,-1.219436522362787,-0.3877115417429977,-1.5504574686473525,-5.34766298543516,0.32075760941493714,0.42252510870651594,2.3088577569049784,0.03498687887572343,-1.0169057974080182,-3.7180112963589904,0.0028337625977470863,5.1506870066626185,-0.5263726253715086,-1.2282846235194036,0.619512221850228,1.1286538815971174,-0.027823554959883683,-0.07007703059078518
9,-0.002253062059019222,-0.7274588551893217,0.0034461035808614334,5.019050241088457,0.00145819976765625,1.912284850128737,-0.0029907187153196697,-1.4791070892868194,-0.3648347568355268,-1.249854883178958,-4.797481410579968,0.4005045563543602,0.4779645439549839,2.906630817620631,0.10714533624572442,-0.6934992136284507,-2.82179520709753,0.0021569088089279024,4.36297793787063,-0.21085961199497077,-0.5233998033872039,0.9634606506056106,1.8671504563623136,0.3837244905916142,1.028056594656012
10,-0.00011614477391870879,-0.03932599073783849,0.002621338883909019,4.024195789688811,0.0008539877536633702,1.0963844103101574,-0.00251980791088132,-1.3081285612539344,-0.25370975302385923,-0.8977630248147637,-3.5723650338615123,0.3298873689012734,0.38625711345520175,2.435067975806833,0.004712764209716015,-0.5779381004870239,-2.437817838919713,0.001569641338083857,3.2914864117059626,-0.45135068104258325,-1.1355258510777926,0.46058694431068414,0.9046898710686088,-0.019828108427786758,-0.05384204685859249
11,0.002429885771134746,1.0374155646918621,0.0012053945904287866,2.184797746156837,-0.0009775519344811844,-1.485512566711468,-0.0027829012603791587,-2.171196328103428,-1.0274462773654243,-1.0949385248501116,-5.481486921281598,0.12115445336481781,0.12706160564043087,1.0077747392345764,-0.5988888050855482,-0.6599465127002219,-3.5022181412370537,0.00016448735887542777,0.43394900469007064,-0.9513529797515992,-3.2195414282313335,-0.1376391336239511,-0.3636632757022809,-0.31601221723850753,-1.1542863529664142
12,0.0022409329176532947,0.940004052507786,0.0017163131899230186,3.2137245958926584,-0.0002830567724157657,-0.4433760374662885,-0.0012117489882599783,-0.8847447115632527,-0.7534186322294288,-1.0776354292793826,-5.4161398911279734,0.08580667043109441,0.11418323310109736,0.9092029393271709,-0.37909796392792483,-0.672404753015543,-3.58240428540081,0.0007901583757747023,2.0928094292894115,-0.983323306946174,-3.22614210224445,-0.05219709048477839,-0.13370222559137748,-0.4081657284904507,-1.4453766995199135
13,0.0012832202708160786,0.43854820157056607,0.001247712178825855,2.338944209329191,-0.00019067159546329267,-0.31704896924510173,-0.0016725527711680653,-1.1315064046076646,-1.3370621282633723,-1.5523520909143858,-7.353321799392832,0.13234871589323355,0.1511916295638796,1.134649098699163,-0.5416374076803251,-0.7364021707725789,-3.6977216027334325,0.0005246895557441849,1.3097647082091715,-1.063881453445161,-3.0833992838886384,0.37632693000123596,0.8515438325601064,-0.12743879453401735,-0.3986534592343321
14,0.0023167802860975654,0.9459660017985134,0.0012237372014427803,2.5486027745971356,2.6756201646405966e-05,0.051590067977208304,-0.0004475263304162281,-0.35529329088560285,-0.7071502170273858,-0.9920024543822066,-5.462860974363044,0.1999651737038762,0.22489641551040074,1.9621419293229563,-0.18653276062085894,-0.44422790739665646,-2.59321812980631,0.0006942218393743918,2.014666648186935,-0.6965694162585316,-2.3864940720440595,0.21725657127560444,0.5811310223386419,-0.053067022147450994,-0.1962357043436778
15,0.0073887185603085815,2.604101377515646,0.0008131316026308391,1.5078972272659203,-0.001222861119716943,-2.2197908331134983,-0.00014003099295308084,-0.10355390904304516,-1.5400515265689732,-1.5998059790090364,-7.847078667862458,0.2290076669476722,0.23423758094318628,1.8202781187498036,-0.567425022574639,-0.621482636918988,-3.231435560877645,0.000145629348988109,0.3764325091202907,-1.7828598883710036,-4.96934452486997,-0.2575329887425038,-0.5604281509658552,-0.5386239549532689,-1.620409985286325
16,0.00983437294452083,2.6647986554507126,0.0007238567136603908,1.0765253169175515,0.0003845601973442528,0.6040985908659777,0.0017083602161781627,0.9056499576703289,-1.510417251555679,-1.8744442454121288,-7.234493255168796,0.1240154603741389,0.15587634759136124,0.9531391170658312,-0.7492516032384581,-1.0785731858361782,-4.41276721095866,0.000887180987601431,1.8044520202801133,-1.1581537854220039,-2.409801786047371,0.9636313474184756,1.565421128791267,-0.09241371541885063,-0.20754337505133394
17,0.0029143648481859607,0.8481335056638685,0.0005162788092579675,0.8620746140723616,-0.0004082109468009186,-0.6296453593894934,-0.0011713144249653467,-0.5747059753090796,-1.2567329375566323,-1.3076717676901952,-5.229596127926359,0.3104521999509436,0.3149105405390011,1.9952489162466547,-0.5618008203941295,-0.6078832715265272,-2.5770058487786858,0.00012414453430048932,0.26163421029432704,-0.5886094955351616,-1.307052168675437,0.7977813215239029,1.3831035722950067,0.3328252828523947,0.7976995017739271
18,0.0016987403378322435,0.5287276807922195,-0.0001082242720859051,-0.2049428933231147,-0.00030876778907909866,-0.5169546766760201,0.0004299308155314119,0.2394197911362853,-0.818673261473194,-0.7748522430063828,-3.420602885073784,0.20601431012753535,0.2021789447544132,1.4140350415187692,-0.41383777373162817,-0.37419454013609116,-1.7510841572748914,-0.00010679750429834824,-0.24845193909680635,-0.33221217231593964,-0.7833028047903193,0.5073703255255624,0.9339946417032712,0.21396485206933252,0.5445201197290411
19,0.005791180696535593,1.3134098308818616,0.0008634621284280002,1.2189930685863268,0.0002790271868226424,0.3514467480841347,-0.00032743562081267465,-0.1424446936716745,-0.2424307856997914,-0.5282188515877142,-1.7440361292995596,0.1241076744505903,0.14912082317020867,0.7800462557196178,0.013923987384796898,-0.24461776840286334,-0.856160899587587,0.0006965025748589768,1.2118861735562567,0.12276881091897254,0.21526950335909242,0.7689172769096674,1.0526385228085409,0.6243947895771127,1.181710467900044
20,0.0017730500359820355,0.41738594455053935,0.0023242309160512718,3.605473633416591,-0.0010165597448640186,-1.32619332062732,-0.002420357723260583,-1.1077300995756922,-0.2801690913758501,-0.5872846048736863,-2.027809815368493,-0.06255561483983688,-0.035675814980608435,-0.19516098024357942,-0.11677982112765442,-0.39461571970747344,-1.444371117247495,0.0007484803302257553,1.361935435674846,-0.3770106396438694,-0.7148120966602529,-0.7356112898020132,-1.088909667867116,-0.04748602038479589,-0.0971765360820952
21,0.003929223041335947,0.829279887436753,0.00209793426300252,3.110092603122594,-0.0017781471148563442,-2.255316047746694,-0.002423393610326895,-1.0434960823225188,-0.33630593530485403,-0.49693681890809144,-1.5950652725744279,0.0581570257211418,0.07221598989813667,0.36724097879773526,0.0034887504978534526,-0.14182799165327387,-0.48257525250762506,0.00039147829243288147,0.6621898094651885,-0.7153818752747318,-1.2280194562329523,-1.0912670220550282,-1.4625257691292166,-0.11899284890934365,-0.22046798370062423
22,-0.00016607453457250055,-0.03993828654601144,0.001565949730940108,2.2394955659876294,-0.00167397359660148,-2.0619681941151744,-0.003952990202480247,-1.893523432516061,-0.7942820834911981,-0.7749181500714734,-2.6501451076119786,0.3807966906718383,0.37910189300797437,2.054046436228745,-0.22341744550858866,-0.2058996204386888,-0.7464404679438037,-4.719241667547864e-05,-0.08505181040310612,-0.5224047977343184,-1.062399950960945,0.04949766539027395,0.07859063206438781,0.21757358809838453,0.47757810947829016
23,-0.008967564182060048,-2.082328993388241,0.0016248535909491265,2.01427324303544,-0.002042796104293577,-2.2425857536619973,-0.005144585676294304,-2.1198367909629146,-1.120044926279369,-0.9332666395770038,-2.8690557753547594,0.34073440411233996,0.3243869298104632,1.579927214390894,-0.44541775338841255,-0.27644643529993684,-0.9008864455953792,-0.00045520290433320374,-0.7374554628972971,-0.24863685984214587,-0.4749606622109195,-0.023603223244350362,-0.035202104207892236,0.4328553791209372,0.8924672763584401
24,-0.0035462505724452764,-0.838288133383244,0.00172033064945747,2.090896833478305,9.567889282905583e-05,0.10771472782652612,-0.00226355963911858,-0.9571634377178525,-0.7490200613149826,-1.0469510635849786,-3.29036635083344,0.3488286097744376,0.3749045498064653,1.8667195124385505,-0.43233437603872893,-0.7018613914203677,-2.3382720316108636,0.0007260964854029504,1.2025682427393805,0.49611043001415805,0.972746246296035,1.6439272669013512,2.5165698311427027,0.8594938213100038,1.8189523320318821
25,-0.003704970465053062,-0.9242854238096415,0.0013870908010944446,1.796763906575897,0.0003501109981865196,0.4011321239550261,-0.0024883094622859037,-1.1230446040279645,-0.824282552934708,-1.0825044593726727,-3.581040148508484,0.42124757970211474,0.44384804388989324,2.326238769806832,-0.4101163757281236,-0.6437200598633838,-2.2573679166335254,0.0006293202697609244,1.097106377584921,0.4442683648577417,0.9292955527261603,1.9133091615655646,3.1246314622265614,0.9054155603887989,2.044154777674298
26,-0.004503864243369408,-1.1459169239852527,0.0012762940112167737,1.6428048631563972,0.0004781033600984272,0.5320290541728608,-0.0027088942366694443,-1.1501209956119356,-0.7622949619630415,-1.0027094139036876,-3.2629583728256932,0.6322607156917525,0.6533026105730222,3.368149173681518,-0.23690419913985333,-0.4543981463708055,-1.567468425530918,0.0005859211940488938,1.0047850674101733,0.6762389384844687,1.3949024392336398,2.2483729934539807,3.6209055832231565,1.2232521900427118,2.723434999473268
27,-0.0017940961808454005,-0.490825530570633,0.00022527332554375345,0.3582929394276483,-0.0001973994457067888,-0.2715915541835895,-0.0010659979405373643,-0.5291741931413859,-0.8138693987669052,-0.7871274044629889,-2.996771375131174,0.5128438476404903,0.5105032968602905,3.0792688821652376,-0.3379355014065925,-0.3137430210834003,-1.2662179392318496,-6.517370776728946e-05,-0.13076108972591252,0.4163513949664088,0.9397782931140061,1.9156528079511967,3.3758828472529863,0.9342902014668139,2.2761691482217667
28,-0.003785819032460841,-1.1705292962501948,-9.196398328038067e-05,-0.156870798148147,-0.0007651441205907705,-1.1190500743870035,-0.0030557059196507155,-1.6816883149766453,-0.9358615841092286,-0.6813456023848601,-2.8420313347697888,0.3628936335351828,0.34061752454996175,2.2509656954396555,-0.49176867173209016,-0.26151759883794606,-1.1563468829310735,-0.0006202884506847551,-1.3634920913344415,0.35389456008790526,0.9153944123898673,1.3722186202885196,2.7711680257830293,0.8409069907184382,2.347684248361693
29,0.0011967174824409144,0.368007779278063,-0.0006813589806776222,-1.006096639490198,3.3341287763247395e-06,0.004848626738980847,-0.001066979790530576,-0.5701463520484527,-1.2549899123173276,-1.0938684462610935,-4.371644699557374,0.19381615385039896,0.1797142522196558,1.1378965129877212,-0.8369069752813215,-0.6911464215652856,-2.9280307686591565,-0.00039267390548503565,-0.827007272170624,0.39273861973582996,0.9567764465912145,2.0492852946172184,3.897754401871587,0.9629477388232542,2.532018862679097
