layer,position,n_pairs,SSSF_mean,SSSF_sd,NNNF_mean,NNNF_sd,HHHF_mean,HHHF_sd,SSHF_mean,SSHF_sd,dz_SSSF_NNNF,dz_HHHF_NNNF,dz_SSHF_NNNF,dz_SSHF_SSSF
0,u_4,160,-6.186141633916787,2.3252292977026046,-8.376382474015198,2.9721651502607607,-10.191274926835682,2.559399552629551,-8.074262324068805,2.3362943009955126,1.539466222450322,-1.1610655422441651,0.17512135854198466,-1.4090160567386112
1,u_4,160,-3.4496159875405423,2.746082559714301,-5.967206976374053,3.0726707764638794,-6.662319015586755,2.668178612124264,-4.604351196974724,2.602734155204554,2.6083170572457277,-0.5961813305544473,1.0406805775713743,-1.2467259940053723
2,u_4,160,-2.786205255768775,1.5998653830500107,-3.137352524872427,1.6089942530589076,-3.1179394733438435,1.6891635944637173,-2.9209746521340767,1.6442907859681468,0.9530677155395394,0.04632513867281816,0.5997158378361654,-0.5539482064636618
3,u_4,160,0.059735501267964695,1.0090770890825622,-0.31500242114259264,1.0176652718989683,-0.15769531151796198,0.9989356423087401,0.06238526584459456,1.033708227879502,1.172194459300808,0.35361919651759854,1.173717832126915,0.010820587666320962
4,u_4,160,1.0724326142993637,1.0187079967811752,0.9139664792783536,1.1098414823321212,0.8387619214143067,1.076880879148291,1.0244782212101624,1.0976805933821887,0.5530859421816084,-0.1618268622364593,0.37841281958612316,-0.20845069778964517
5,u_4,160,0.15439275834113814,1.5386056965963641,0.18012129696630996,1.6209131940668617,0.05886777268839109,1.527089031488016,0.17834258467021025,1.6005771320710773,-0.05764600755525464,-0.28714183014430494,-0.004759112374900511,0.09586640155636444
6,u_4,160,0.4980518417781683,1.211313207555761,0.5815765404283644,1.438331879064494,0.601068181081025,1.3496025896750998,0.5928253957320686,1.251852158712826,-0.2779315093726759,0.0691997419470285,0.04132055758364365,0.7041446239586107
7,u_4,160,0.7287299748564391,1.1417649146196578,1.0550550023665939,1.1730376351947323,1.0921142901769958,1.1531451494694038,0.9124591667921003,1.1085052017768635,-1.361809686262919,0.11315964152382038,-0.6317011441453718,1.173564374149705
8,u_4,160,0.6953221578776885,1.1096415108416775,0.8543451969394125,1.2412461277601008,1.0796296323039782,1.2095142897788285,0.9205731824564939,1.11378162260726,-0.4176661272689668,0.7058319398541635,0.20466973486832862,1.1491989717506412
9,u_4,160,1.2593996097177946,1.2971971194177738,1.5225413919907334,1.2832797246170435,1.6699211212214924,1.2154070326997004,1.5117554134995481,1.2955095420328262,-0.6897180777565698,0.534577049994447,-0.035982262386111206,1.3211643743502834
10,u_4,160,0.8991287783988712,1.3484949920393914,1.0501189418153565,1.3189739571066874,1.1717483331091596,1.276024684104781,1.0778425496808208,1.2861548094770814,-0.5097505214109205,0.4331818143043604,0.10644698254963327,0.9908414743764293
11,u_4,160,0.2891049994199422,1.1856501406776079,0.530187779013273,1.1542356915560978,0.6894141665176844,1.048160480034073,0.5348041230216581,1.088016187246639,-0.725245494302029,0.7034799843285863,0.021063220449905093,0.8635415407903528
12,u_4,160,0.6313748813880895,1.3026681118962484,0.6422133765666362,1.35611063295252,0.8156952508275908,1.2214456917975454,0.8011251659899304,1.201203729577933,-0.036349828237453696,0.6575227710481707,0.5390235665759725,0.7465883465248644
13,u_4,160,0.020535610031001593,1.2239225577150974,0.3914340968498134,1.202109270295716,0.4953920161765975,1.0757612331178228,0.3486496273483633,1.061292715505293,-1.1334441380039293,0.46978905679584826,-0.15273109111090735,1.1167370334737323
14,u_4,160,0.72473890273505,1.2270904321667524,0.74890336934422,1.15240674088381,0.9024692282355149,1.0420919621009979,0.8575569646974902,1.0655038998215032,-0.08919752001157816,0.5809909778386335,0.3881529308413038,0.4977939388046478
15,u_4,160,0.3868436106366356,1.311939481549885,0.3099437176931794,1.198749120972819,0.5404547314174384,1.0919797617953049,0.48110637855483107,1.1658248641986877,0.2356786232593673,0.6728304876681953,0.5243674414748156,0.3406305835684594
16,u_4,160,-0.2429981387241637,1.3758866541832924,-0.24382325588622322,1.3554225536684377,-0.17159872276633242,1.08500381943118,-0.22296809538192114,1.1950721023753648,0.0023675577754295614,0.17001278957131316,0.05712448183069942,0.06543487743545688
17,u_4,160,0.5706165099581932,1.4358681473131751,0.4557783400690921,1.3360839386051897,0.5484116708020834,1.1096269005813602,0.6964309966141735,1.245150625454095,0.2574231460089213,0.19283174728968325,0.5356406708611902,0.3648033692175588
18,u_4,160,0.5837980668849774,1.5386726609532388,0.1840134818310682,1.332082472413876,0.38723124519423413,1.1785129000822352,0.6253454037157911,1.347651766464931,0.7333656089560917,0.40088147374666033,0.9046990242832539,0.11577287812926965
19,u_4,160,0.3541428230500652,1.575681470898868,-0.18556460983827788,1.2558521333223247,-0.05541180078018861,1.199614373929665,0.37740529866457595,1.3373476017370076,0.7092696772210312,0.24086259655221792,0.8439695834210748,0.0575301012131995
20,u_4,160,0.24918300682286015,1.729239623462098,-0.2667399667184528,1.371957760314206,-0.2523867715530338,1.3156043210549517,0.2916318365019742,1.4707222668740758,0.6969911553788949,0.02166232760819307,0.9683988553209188,0.09854342667576543
21,u_4,160,0.6808096319219207,1.591033294710028,0.1387179959646166,1.238532378752006,0.1340800890365132,1.147885686266024,0.7238856728573442,1.309831369401518,0.7225290602073303,-0.007623485831491967,1.113157064966239,0.09059569825758414
22,u_4,160,1.7562191958369848,1.7044989446694043,1.4913088935424899,1.4062925081485227,1.490490572897614,1.2255866551378012,1.930247197977899,1.4656772943316618,0.3529703141060786,-0.0011576791622130256,0.8639240306339785,0.36053963306151604
23,u_4,160,1.8245005837108792,1.5366643990153344,1.4624996813347741,1.4966881055341839,1.2861975423713596,1.1936511879526805,1.8967933065886455,1.4447413980947572,0.5805950944090481,-0.23984774899387104,0.8986134516882203,0.16362011834944695
24,u_4,160,1.3278040430201714,1.7516654682909694,0.9627091262957851,1.7315634036330165,0.7203172188128794,1.31982694621293,1.3786845184402685,1.5994958291645869,0.45569043510049007,-0.27373105080449567,0.666868378762536,0.10318102856620133
25,u_4,160,1.0902201971355903,1.9807218556624926,0.8127017032097352,1.8970289361668717,0.5694964109748339,1.504828633479312,1.1683925516461857,1.7894875518488316,0.29947554900134327,-0.27478134632033674,0.5290175550967537,0.15636080722956086
26,u_4,160,1.092154433608685,1.8436294587252644,0.77155926726032,1.8104407720050741,0.5822299718266146,1.4364621135492914,1.1289714478609811,1.6829173639263963,0.37169342315953635,-0.21376954431685333,0.5567253259238976,0.0806782960912987
27,u_4,160,1.2545500631040434,1.8171914667831452,0.8857926969125997,1.7937923290498714,0.6595252385351782,1.4313966115049797,1.3151284778713594,1.6998866521603808,0.464713987603661,-0.2607818895285747,0.7300740393947979,0.1475642900376194
28,u_4,160,1.0190866899799993,1.8295520004362136,0.6063569729666506,1.8223477509000272,0.35021736214711774,1.4140424014872859,1.0690734631304808,1.727669934990294,0.4911909413559071,-0.2729565284228725,0.7455904347037944,0.11280921012079298
29,u_4,160,1.397094596731288,1.7713188888722695,0.9812758126810177,1.8367880317465455,0.7094476922909129,1.43044043418317,1.4281430578670922,1.6954617469969018,0.5165077452108755,-0.3056855430409406,0.7607519081935348,0.07190424045161185
30,u_4,160,1.4118519200419328,1.9972946685011501,0.9514943025281848,2.1201828901058155,0.6289251906639503,1.6616550775317853,1.4147944222741982,1.8804832092856536,0.5170157952781941,-0.3571040220915945,0.6968441568139266,0.00613121598516644
31,u_4,160,3.2284382208031586,1.5892591662568898,2.341684086009727,1.7656035576552953,2.0862866078522595,1.4935934570471716,2.9739162695536443,1.476561386239452,1.1750170288389759,-0.3706264787302539,1.0641641117339982,-0.625404540396932
