prefix_id,topic,probe,layer,B_readout,C_readout,diff_B_minus_C
NNNF|health|a|00,health,P1,11,1.7810636531085098,1.658024347521623,0.1230393055868868
NNNF|health|a|00,health,P1,12,0.9873456777164293,0.9445299878812925,0.04281568983513684
NNNF|health|a|00,health,P1,13,1.6619804429282574,1.6849542118220024,-0.022973768893745028
NNNF|health|a|00,health,P1,14,1.0420409589492987,0.9264173893956548,0.11562356955364395
NNNF|health|a|00,health,P1,15,0.7367829866107197,0.6538702179146119,0.08291276869610786
NNNF|health|a|00,health,P1,16,1.476932170406748,1.4958793490616906,-0.018947178654942665
NNNF|health|a|00,health,P1,17,1.8003076448771491,1.7085700999076607,0.09173754496948838
NNNF|health|a|00,health,P1,18,0.7884118252861139,0.7508084244902552,0.037603400795858666
NNNF|health|a|00,health,P1,19,-0.04042954432923773,-0.17650425973706518,0.13607471540782745
NNNF|health|a|00,health,P1,20,0.18762693904234182,-0.004092087516776671,0.1917190265591185
NNNF|health|a|00,health,P1,21,-0.009241087663120151,-0.12498256417834563,0.11574147651522548
NNNF|health|a|00,health,P1,22,1.7378900857263477,1.6043375022701531,0.13355258345619458
NNNF|health|a|00,health,P1,23,1.8543723820526476,1.6663669560444598,0.18800542600818781
NNNF|health|a|00,health,P1,24,3.840561354487015,3.6916606980678814,0.14890065641913353
NNNF|health|a|00,health,P1,25,4.427700163219689,4.278020743179772,0.1496794200399174
NNNF|health|a|00,health,P1,26,3.978459815084642,3.8785513741388065,0.09990844094583551
NNNF|health|a|00,health,P1,27,4.257769966497077,4.158598430169083,0.09917153632799369
NNNF|health|a|00,health,P1,28,3.35828862506909,3.2898114751056675,0.06847714996342269
NNNF|health|a|00,health,P1,29,2.2648488573395213,2.1819833257613532,0.08286553157816812
NNNF|health|b|00,health,P1,11,1.6925803449269852,1.368606156585353,0.3239741883416323
NNNF|health|b|00,health,P1,12,1.0676103749406798,0.8174066133599355,0.2502037615807443
NNNF|health|b|00,health,P1,13,1.871436845644098,1.6511253384033873,0.2203115072407107
NNNF|health|b|00,health,P1,14,1.4371157717897174,1.3291418434089106,0.10797392838080677
NNNF|health|b|00,health,P1,15,0.7847484904273035,0.6936821591002144,0.09106633132708919
NNNF|health|b|00,health,P1,16,1.4716328522595432,1.4903448635982612,-0.018712011338718026
NNNF|health|b|00,health,P1,17,1.8726959781385508,1.7695627243243743,0.10313325381417648
NNNF|health|b|00,health,P1,18,0.6062043981380334,0.5160266014380451,0.09017779669998827
NNNF|health|b|00,health,P1,19,0.28461962064596297,0.2522306723000598,0.03238894834590317
NNNF|health|b|00,health,P1,20,0.6734240042183174,0.7031877197252069,-0.0297637155068895
NNNF|health|b|00,health,P1,21,0.4501327238282667,0.7465571410290346,-0.2964244172007679
NNNF|health|b|00,health,P1,22,1.6662772615167816,2.1814167076996176,-0.515139446182836
NNNF|health|b|00,health,P1,23,1.7165672335072601,2.3102005088023683,-0.5936332752951081
NNNF|health|b|00,health,P1,24,3.5677870830429383,4.008118596341551,-0.44033151329861253
NNNF|health|b|00,health,P1,25,3.652539132023065,3.981943772533548,-0.3294046405104831
NNNF|health|b|00,health,P1,26,3.3153834488849876,3.632268672606156,-0.31688522372116834
NNNF|health|b|00,health,P1,27,3.193253198959545,3.324431700212096,-0.13117850125255082
