prefix_id,e_tokens,a_tokens,e_tfidf,a_tfidf,e_sent,a_sent
NNNF|health|a|00,274,294,-0.20354100339481673,-0.3508764953067176,-0.6274064900353551,-0.701131328009069
NNNF|health|b|00,211,214,-0.30512833255768357,-0.17761117896685974,-0.8691236777231097,-0.8956230888143182
NNNF|tech_support|a|00,509,512,0.32039490617898647,0.17856691840841396,-0.5279444698244333,-0.5279444698244333
NNNF|tech_support|b|00,382,385,0.15228669936133227,-0.13835026733469263,-0.6823199475184083,-0.7085077948868275
NNNF|travel|a|00,260,264,0.3839415094885018,0.22891147731626904,-0.3969799838960171,-0.3969799838960171
NNNF|work|a|00,509,512,0.16774183195213357,-0.00774090451392153,-0.2565142810344696,-0.2565142810344696
NNNF|work|b|00,509,512,0.2634435262040374,0.025157481215136848,-0.6273946072906256,-0.6273946072906256
NNNF|health|a|01,302,316,-0.1582034404757443,-0.2771177235887016,-0.4038461111485958,-0.47773411870002747
NNNF|health|b|01,343,352,-0.14913029608135966,-0.15876664298006615,-0.8632833696901798,-0.840297163464129
NNNF|tech_support|a|01,509,512,0.35361451551621215,0.1717482816103379,-0.6037897616624832,-0.6037897616624832
NNNF|tech_support|b|01,481,498,0.29228468232240346,0.07676694877008368,-0.7180590340867639,-0.7180590340867639
NNNF|travel|a|01,509,512,0.44217585724153563,0.29248057645880765,-0.8838243903592229,-0.8838243903592229
NNNF|work|a|01,509,512,0.1483062886054401,0.09485674604796271,-0.5562546262517571,-0.5562546262517571
NNNF|work|b|01,509,512,0.17527309106973268,0.06918049462123224,-0.5769906910136342,-0.5769906910136342
NNNF|health|a|02,321,323,-0.21657551786455004,-0.3398263790904859,-0.6999296080321074,-0.6999296080321074
NNNF|health|b|02,274,301,-0.20367678715938142,-0.08170257459366928,-0.8094638530164957,-0.812849604524672
NNNF|tech_support|a|02,509,512,0.30532289132893353,0.16061690701834977,-0.750520208850503,-0.750520208850503
NNNF|tech_support|b|02,368,376,0.037791861075750596,-0.27583011207124125,-0.7357448535040021,-0.7934269281104207
NNNF|travel|a|02,509,512,0.5107280892949606,0.42814221922913254,-0.7567384787835181,-0.7567384787835181
NNNF|work|a|02,509,512,0.19186742467298634,0.17508443872276547,-0.6578926243819296,-0.6578926243819296
