prefix_id,topic,probe,layer,E_readout,A_readout,diff_E_minus_A
NNNF|health|a|00,health,P1,11,1.5411650626695743,1.846262666871489,-0.3050976042019147
NNNF|health|a|00,health,P1,12,0.8847747277362782,1.084711872657589,-0.19993714492131087
NNNF|health|a|00,health,P1,13,1.5484837386437436,1.738115718753168,-0.1896319801094244
NNNF|health|a|00,health,P1,14,1.440029451482929,1.0591581687411984,0.38087128274173065
NNNF|health|a|00,health,P1,15,0.7899935539716559,0.802066629683558,-0.012073075711902082
NNNF|health|a|00,health,P1,16,1.4180512127680498,1.60390955348009,-0.18585834071204022
NNNF|health|a|00,health,P1,17,1.553649791610868,1.8240527282370427,-0.27040293662617465
NNNF|health|a|00,health,P1,18,0.5082009491513524,0.7879809040809,-0.27977995492954766
NNNF|health|a|00,health,P1,19,-0.2956779265712588,-0.00924627828696123,-0.28643164828429757
NNNF|health|a|00,health,P1,20,-0.22581273855255782,0.3570659356264524,-0.5828786741790102
NNNF|health|a|00,health,P1,21,0.29394398394427085,0.1253566451316901,0.16858733881258076
NNNF|health|a|00,health,P1,22,2.1207952693269725,1.6462664876099946,0.4745287817169779
NNNF|health|a|00,health,P1,23,1.627981422399884,1.6755402902836862,-0.04755886788380215
NNNF|health|a|00,health,P1,24,3.117023088649612,3.5765615906649884,-0.45953850201537616
NNNF|health|a|00,health,P1,25,3.6681524313033314,4.139512419430096,-0.4713599881267645
NNNF|health|a|00,health,P1,26,2.8813329478784047,3.721841736874616,-0.8405087889962113
NNNF|health|a|00,health,P1,27,3.03268733319384,3.8814818304360936,-0.8487944972422534
NNNF|health|a|00,health,P1,28,2.685025383797018,2.995786516014093,-0.3107611322170749
NNNF|health|a|00,health,P1,29,2.092950301725692,1.8955926497045528,0.1973576520211393
NNNF|health|b|00,health,P1,11,1.671132649364555,1.4674559288678812,0.20367672049667385
NNNF|health|b|00,health,P1,12,1.1262534274521654,0.7653716694013769,0.3608817580507885
NNNF|health|b|00,health,P1,13,1.5965454155087149,1.6869127439006126,-0.09036732839189776
NNNF|health|b|00,health,P1,14,1.5194678215771078,1.189876129871108,0.3295916917059998
NNNF|health|b|00,health,P1,15,0.7543933984629729,0.7209496165632322,0.03344378189974073
NNNF|health|b|00,health,P1,16,1.4904274635904295,1.4591991880269053,0.031228275563524255
NNNF|health|b|00,health,P1,17,1.6330385742266982,1.7287094485101302,-0.09567087428343202
NNNF|health|b|00,health,P1,18,0.5986501316181035,0.5173452525506428,0.08130487906746076
NNNF|health|b|00,health,P1,19,0.10682743060180988,0.18998871883414892,-0.08316128823233904
NNNF|health|b|00,health,P1,20,0.17662978111943525,0.7555808560719187,-0.5789510749524834
NNNF|health|b|00,health,P1,21,0.3972844959471573,0.7896525847464255,-0.3923680887992682
NNNF|health|b|00,health,P1,22,2.1915342134683606,1.9898398861650617,0.20169432730329895
NNNF|health|b|00,health,P1,23,1.72045077075318,2.0739330780208904,-0.35348230726771046
NNNF|health|b|00,health,P1,24,3.316518888831745,3.8037996385904735,-0.4872807497587286
NNNF|health|b|00,health,P1,25,3.7815978387174045,3.761663780520043,0.019934058197361715
NNNF|health|b|00,health,P1,26,3.000805288808403,3.3578752533751097,-0.3570699645667066
NNNF|health|b|00,health,P1,27,2.7895520728547814,3.0412155037936346,-0.25166343093885324
NNNF|health|b|00,health,P1,28,2.474248991609669,2.2428698901801014,0.2313791014295674
NNNF|health|b|00,health,P1,29,1.2444724505035838,0.6236949711740138,0.62077747932957
NNNF|tech_support|a|00,tech_support,P1,11,1.3435277983562248,1.7693905722003338,-0.425862773844109
NNNF|tech_support|a|00,tech_support,P1,12,1.0248787880688055,1.4767244121616594,-0.4518456240928539
NNNF|tech_support|a|00,tech_support,P1,13,2.0038056035454725,2.447727552243427,-0.4439219486979544
NNNF|tech_support|a|00,tech_support,P1,14,2.0051817803749077,1.9211346433525327,0.08404713702237498
NNNF|tech_support|a|00,tech_support,P1,15,1.333692135924443,1.3840097672919929,-0.050317631367549964
NNNF|tech_support|a|00,tech_support,P1,16,1.7028806360115198,1.7090600426814828,-0.006179406669962972
NNNF|tech_support|a|00,tech_support,P1,17,1.7182992106680062,1.5541501650723104,0.16414904559569576
NNNF|tech_support|a|00,tech_support,P1,18,0.5317963812343426,0.32646868194422207,0.2053276992901205
NNNF|tech_support|a|00,tech_support,P1,19,0.3377465334365963,0.27243536106624316,0.06531117237035311
NNNF|tech_support|a|00,tech_support,P1,20,0.5475605329948422,0.7065238316838952,-0.158963298689053
NNNF|tech_support|a|00,tech_support,P1,21,0.6893406556948745,0.161590692043933,0.5277499636509415
NNNF|tech_support|a|00,tech_support,P1,22,2.518619877422942,1.7835599997106468,0.7350598777122952
NNNF|tech_support|a|00,tech_support,P1,23,2.130270514051733,1.78366015655518,0.3466103574965531
NNNF|tech_support|a|00,tech_support,P1,24,4.090320693810035,3.777938590169381,0.3123821036406542
NNNF|tech_support|a|00,tech_support,P1,25,4.596992641589318,4.400545664764473,0.1964469768248449
NNNF|tech_support|a|00,tech_support,P1,26,4.059063510619012,3.960905342170083,0.09815816844892922
NNNF|tech_support|a|00,tech_support,P1,27,4.150322853508795,4.677029087529971,-0.5267062340211757
NNNF|tech_support|a|00,tech_support,P1,28,3.389070584363936,3.4496874686279058,-0.060616884263969606
NNNF|tech_support|a|00,tech_support,P1,29,2.2140002771316554,2.288439493884843,-0.07443921675318776
NNNF|tech_support|b|00,tech_support,P1,11,1.504028035952329,1.6579988916150135,-0.15397085566268442
NNNF|tech_support|b|00,tech_support,P1,12,0.7695386454944108,0.9613222525467201,-0.19178360705230935
NNNF|tech_support|b|00,tech_support,P1,13,1.5368951573353606,1.8461989930265923,-0.30930383569123165
NNNF|tech_support|b|00,tech_support,P1,14,1.2245639682893978,1.2183208172065803,0.0062431510828175885
NNNF|tech_support|b|00,tech_support,P1,15,0.5945811142964169,0.714105720560105,-0.1195246062636881
NNNF|tech_support|b|00,tech_support,P1,16,1.2462039066673407,1.3016036695616844,-0.055399762894343674
NNNF|tech_support|b|00,tech_support,P1,17,1.474085163693847,1.6789872237090213,-0.2049020600151743
NNNF|tech_support|b|00,tech_support,P1,18,0.5167237573366765,0.5731704210787891,-0.0564466637421126
NNNF|tech_support|b|00,tech_support,P1,19,0.1089634090241598,0.21609969117431505,-0.10713628215015525
NNNF|tech_support|b|00,tech_support,P1,20,0.17788426903040191,0.972703079123608,-0.7948188100932061
NNNF|tech_support|b|00,tech_support,P1,21,0.3540005115826638,0.5243646474626233,-0.17036413587995952
NNNF|tech_support|b|00,tech_support,P1,22,1.923047086400825,1.9873708877536027,-0.06432380135277782
NNNF|tech_support|b|00,tech_support,P1,23,1.525326942427157,2.164788468957693,-0.6394615265305359
NNNF|tech_support|b|00,tech_support,P1,24,3.432589374172091,4.470170148281735,-1.0375807741096437
NNNF|tech_support|b|00,tech_support,P1,25,3.809726909382155,4.858629865250698,-1.0489029558685434
