target,achieved,shortfall,used
315,267,48,"{0: 28, 1: 49, 2: 27, 3: 56, 4: 26, 5: 55, 6: 26}"
269,244,25,"{0: 21, 1: 26, 2: 24, 3: 50, 4: 23, 5: 66, 6: 34}"
511,408,103,"{0: 24, 1: 65, 2: 25, 3: 99, 4: 24, 5: 145, 6: 26}"
382,315,67,"{0: 23, 1: 58, 2: 21, 3: 70, 4: 23, 5: 91, 6: 29}"
512,512,0,"{0: 24, 1: 163, 2: 24, 3: 256, 4: 25, 5: 20}"
512,454,58,"{0: 26, 1: 95, 2: 23, 3: 133, 4: 23, 5: 130, 6: 24}"
512,512,0,"{0: 25, 1: 89, 2: 22, 3: 161, 4: 24, 5: 176, 6: 15}"
284,284,0,"{0: 28, 1: 63, 2: 27, 3: 76, 4: 26, 5: 58, 6: 6}"
251,251,0,"{0: 21, 1: 55, 2: 24, 3: 58, 4: 23, 5: 60, 6: 10}"
512,429,83,"{0: 24, 1: 69, 2: 25, 3: 118, 4: 24, 5: 143, 6: 26}"
511,509,2,"{0: 23, 1: 54, 2: 21, 3: 123, 4: 23, 5: 236, 6: 29}"
512,512,0,"{0: 24, 1: 149, 2: 24, 3: 253, 4: 25, 5: 37}"
512,512,0,"{0: 26, 1: 111, 2: 23, 3: 189, 4: 23, 5: 140}"
512,472,40,"{0: 25, 1: 57, 2: 22, 3: 161, 4: 24, 5: 152, 6: 31}"
385,385,0,"{0: 28, 1: 101, 2: 27, 3: 136, 4: 26, 5: 67}"
237,237,0,"{0: 21, 1: 48, 2: 24, 3: 75, 4: 23, 5: 46}"
512,420,92,"{0: 24, 1: 80, 2: 25, 3: 122, 4: 24, 5: 119, 6: 26}"
512,331,181,"{0: 23, 1: 75, 2: 21, 3: 75, 4: 23, 5: 85, 6: 29}"
512,512,0,"{0: 24, 1: 212, 2: 24, 3: 252}"
512,512,0,"{0: 26, 1: 103, 2: 23, 3: 186, 4: 23, 5: 151}"
252,252,0,"{0: 28, 1: 49, 2: 27, 3: 56, 4: 26, 5: 55, 6: 11}"
191,191,0,"{0: 21, 1: 26, 2: 24, 3: 50, 4: 23, 5: 47}"
512,408,104,"{0: 24, 1: 65, 2: 25, 3: 99, 4: 24, 5: 145, 6: 26}"
346,315,31,"{0: 23, 1: 58, 2: 21, 3: 70, 4: 23, 5: 91, 6: 29}"
430,430,0,"{0: 24, 1: 163, 2: 24, 3: 219}"
512,454,58,"{0: 26, 1: 95, 2: 23, 3: 133, 4: 23, 5: 130, 6: 24}"
512,512,0,"{0: 25, 1: 89, 2: 22, 3: 161, 4: 24, 5: 176, 6: 15}"
306,304,2,"{0: 28, 1: 63, 2: 27, 3: 76, 4: 26, 5: 58, 6: 26}"
386,275,111,"{0: 21, 1: 55, 2: 24, 3: 58, 4: 23, 5: 60, 6: 34}"
512,429,83,"{0: 24, 1: 69, 2: 25, 3: 118, 4: 24, 5: 143, 6: 26}"
499,499,0,"{0: 23, 1: 54, 2: 21, 3: 123, 4: 23, 5: 236, 6: 19}"
438,438,0,"{0: 24, 1: 149, 2: 24, 3: 241}"
512,512,0,"{0: 26, 1: 111, 2: 23, 3: 189, 4: 23, 5: 140}"
512,472,40,"{0: 25, 1: 57, 2: 22, 3: 161, 4: 24, 5: 152, 6: 31}"
287,287,0,"{0: 28, 1: 101, 2: 27, 3: 131}"
399,305,94,"{0: 21, 1: 48, 2: 24, 3: 75, 4: 23, 5: 80, 6: 34}"
512,420,92,"{0: 24, 1: 80, 2: 25, 3: 122, 4: 24, 5: 119, 6: 26}"
375,331,44,"{0: 23, 1: 75, 2: 21, 3: 75, 4: 23, 5: 85, 6: 29}"
512,512,0,"{0: 24, 1: 212, 2: 24, 3: 252}"
511,511,0,"{0: 26, 1: 103, 2: 23, 3: 186, 4: 23, 5: 150}"
